imdbId,n_lines,movieId,tmdbId,clean_title,year,genres,main_genre,avg_rating,rating_count,n_words,overview,poster_url,runtime,popularity,vote_average
120522,995,7763,781.0,Winter Sleepers (Winterschläfer),2000,Drama|Romance,Drama,3.5807693,130,4098,"Young blonde translator Rebecca lives with her boyfriend ski instructor Marco in a mountain villa owned by her friend, nurse Laura. Rene, local cinema projectionist, steals Marco's car and gets into a car crash with local Theo, whose daughter, after being in coma for a time, dies. Rene suffers from partial short term memory loss and starts a relationship with Laura. Meanwhile Marco is looking for the man who stole his car and Theo - for the man who killed his daughter...",https://image.tmdb.org/t/p/w342/9eSSVuhQ197uSzhgkuW8rKGQ1bo.jpg,120.0,0.7425,6.922
144117,1214,3275,8374.0,"Boondock Saints, The",2000,Action|Crime|Drama|Thriller,Action,3.8604634,13251,9709,"Tired of the crime overrunning the streets of Boston, Irish Catholic twin brothers Conner and Murphy are inspired by their faith to cleanse their hometown of evil with their own brand of zealous vigilante justice. As they hunt down and kill one notorious gangster after another, they become controversial folk heroes in the community. But Paul Smecker, an eccentric FBI agent, is fast closing in on their blood-soaked trail.",https://image.tmdb.org/t/p/w342/wtLUmkWg41xFLpvmUWAN1mm65f6.jpg,108.0,7.9715,7.248
118694,804,4144,843.0,In the Mood For Love (Fa yeung nin wa),2000,Drama|Romance,Drama,4.0588994,4270,4516,"In 1960s Hong Kong, two neighbors form an intimate bond after making a discovery about their spouses in this visually stunning tale of unrequited love.",https://image.tmdb.org/t/p/w342/iYypPT4bhqXfq1b6EnmxvRt6b2Y.jpg,99.0,11.5347,8.088
118852,1599,65764,49511.0,Chinese Coffee,2000,Drama,Drama,3.8387096,31,14064,"When Harry Levine, an aging, unsuccessful Greenwich Village writer, is fired from his job as restaurant doorman, he calls on friend and mentor Jake, ostensibly to collect a long-standing debt.",https://image.tmdb.org/t/p/w342/nZGWnSuf1FIuzyEuMRZHHZWViAp.jpg,99.0,1.1485,6.746
120263,882,5515,34070.0,Songs From the Second Floor (Sånger från andra våningen),2000,Drama,Drama,3.8355818,593,5195,A monumental traffic jam serves as the backdrop for the lives of the inhabitants of a Swedish city.,https://image.tmdb.org/t/p/w342/xMZieoxiQ1hb5zraZlhzcvU7MGN.jpg,99.0,1.0168,7.064
120630,1244,3751,7443.0,Chicken Run,2000,Animation|Children|Comedy,Animation,3.4710538,23941,6296,"The creators of Wallace & Gromit bring you an exciting and original story about a group of chickens determined to fly the coop–even if they can’t fly! It’s hardly poultry in motion when Rocky attempts to teach Ginger and her feathered friends to fly…but, with teamwork, determination and a little bit o’ cluck, the fearless flock plots one last attempt in a spectacular bid for freedom.",https://image.tmdb.org/t/p/w342/8XgmIsbpVamdhwcNVsYzohFZTtT.jpg,84.0,8.4168,6.852
120755,791,3623,955.0,Mission: Impossible II,2000,Action|Adventure|Thriller,Action,2.983597,23898,6003,"With computer genius Luther Stickell at his side and a beautiful thief on his mind, agent Ethan Hunt races across Australia and Spain to stop a former IMF agent from unleashing a genetically engineered biological weapon called Chimera. This mission, should Hunt choose to accept it, plunges him into the center of an international crisis of terrifying magnitude.",https://image.tmdb.org/t/p/w342/hfnrual76gPeNFduhD4xzHWpfTw.jpg,123.0,16.4843,6.14
120903,621,3793,36657.0,X-Men,2000,Action|Adventure|Sci-Fi,Action,3.5342085,42387,4621,"Two mutants, Rogue and Wolverine, come to a private academy for their kind whose resident superhero team, the X-Men, must oppose a terrorist organization with similar powers.",https://image.tmdb.org/t/p/w342/bRDAc4GogyS9ci3ow7UnInOcriN.jpg,104.0,1.5387,7.0
120913,1088,3745,7450.0,Titan A.E.,2000,Action|Adventure|Animation|Children|Sci-Fi,Action,3.279635,7179,5541,"A young man finds out that he holds the key to restoring hope and ensuring survival for the human race, while an alien species called the Drej are bent on mankind's destruction.",https://image.tmdb.org/t/p/w342/el2iHk3LTJWfEnwrvcRkvWY501G.jpg,95.0,4.4853,6.627
120917,1265,4016,11688.0,"Emperor's New Groove, The",2000,Adventure|Animation|Children|Comedy|Fantasy,Adventure,3.647044,11806,8672,"When the self‑absorbed Emperor Kuzco is accidentally transformed into a llama, he must rely on a humble villager to survive the jungle and reclaim his throne.",https://image.tmdb.org/t/p/w342/wwbgkXQBEKtnyIJapk6gUgWkVw8.jpg,78.0,14.2763,7.567
127349,1107,3457,37722.0,Waking the Dead,2000,Drama|Thriller,Drama,3.1421802,633,7541,"A congressional candidate questions his sanity after seeing the love of his life, presumed dead, suddenly emerge.",https://image.tmdb.org/t/p/w342/wC4MSw7MYYDIhkcgw1lZui0kzur.jpg,105.0,2.5596,6.08
130623,593,3615,10567.0,Dinosaur,2000,Adventure|Animation|Children,Adventure,3.0537896,3681,3396,An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.,https://image.tmdb.org/t/p/w342/rSje3FS7ycJSglowlngjsvDt7vO.jpg,82.0,8.8247,6.583
132910,685,3563,9456.0,"Crow: Salvation, The",2000,Action|Horror,Action,2.2678916,517,4422,"Alex Corvis, a man wrongly executed for the murder of his girlfriend, returns from the dead and sets out to find the real killer.",https://image.tmdb.org/t/p/w342/5JkLJ0HS1hGxZHok9pjBcLCpLuX.jpg,101.0,3.6734,5.477
